Disk no.: 1 - 1997 ,Disk no.: 1 - 1997 ,"Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekooi","Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekooi",Date recorded: 13 Nov 1997 
Translations coordinator: Louie Ettling ,Translations coordinator: Louie Ettling ,Task: English translation of Afrikaans transcription ,Task: English translation of Afrikaans transcription ,Date returned: 10 Dec 2008 
Translator:LeviNamaseb,Translator:LeviNamaseb,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations,Date returned: not specified
Editing coordinator:Kerry Jones (African Tongue) ,Editing coordinator:Kerry Jones (African Tongue) ,"Task:Editing, proofing and combination of all languages transcribed and translated into one text file","Task:Editing, proofing and combination of all languages transcribed and translated into one text file",Date edited:June 2015
Translator: Francoise Steyn (Betta),Translator: Francoise Steyn (Betta),Task: Editing of Afrikaans transcriptions and corresponding English translations,Task: Editing of Afrikaans transcriptions and corresponding English translations,Date edited:June 2015
Translator: Niklaas Fredericks ,Translator: Niklaas Fredericks ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations,Date edited: July 2015
TIME/CODE ,ENGLISH TRANSLATION ,ENGLISH TRANSLATION ,AFRIKAANS/KHOEKHOEGOWAB/N|UU TRANSCRIPTION ,COMMENTS 
" Note: Colour coding for transcriptions: green text is N|uu, blue is Afrikaans, red is Khoekhoegowab (Nama) and black is English."
"Film clip: 1997_01-01 
Katriena: Katriena Witbooi 
Petrus: Petrus Vaalbooi 
OS: Off screen
Keywords: Katriena Witbooi (Ouma),Petrus Vaalbooi, Nama language, ǂHanasen, kinship, biography, interview assistance, Willem Claasen, Elsie Vaalbooi, Petsi (place name)."
<time>00:00:00 </time>,<speaker>Petrus</speaker> <eng>OS (Petrus): Grandmother do you know Mother? Describe </eng> <eng>her to him so that he … can understand well. He will not understand well.</eng>,"<speaker>Petrus</speaker> <afr>Ken Ouma vir Ma? Verduidelik hom lat hy net ... mooi kan hoor. Hy sal nie mooi verstaan nie.</afr> <eng>
</eng>",<notes></notes>
<time>00:00:06 </time>,<speaker>Katriena</speaker> <eng>Katriena: I know her from the time she had Jacoba …</eng>,<speaker>Katriena</speaker> <afr>Ek ken hom van die tyd wat hy Jacoba gehad het </afr> <afr>al …</afr>,<notes></notes>
<time>00:00:13 </time>,<speaker>Petrus</speaker> <eng>OS (Petrus): Yes</eng>,<speaker>Petrus</speaker> <afr>Aha.</afr>,<notes></notes>
<time>00:00:14 </time>,<speaker>Katriena</speaker> <eng>Katriena: I know her.</eng>,<speaker>Katriena</speaker> <afr>Ken ek hom.</afr>,<notes></notes>
<time>00:00:15 </time>,"<speaker>Katriena</speaker> <eng>Katriena: I’ve known her since she was dating/married to 
Toper. While I was in […] they lived in Petsi, and when I 
started dating Willem Claasen from Petsi I relocated and 
moved there, that’s how I 
knew her, Elsie your mother. </eng>","<speaker>Katriena</speaker> <nam>Toperas ge ūhâ I ||aeba xu ta ǂan, ge ǂan. […] ta hâ tita hîas ge ||în ge Petsis ai hâ i sa, tsî Petsisa xu i ta ge Willem Klaaseba u tsîta ge tita ge ||naǀî doe, ||napa u ta ge ǂan. Elsisa, sa ma sa. </nam> <eng>
</eng>","<notes>Khoekhoegowab, Niklaas transcribed and translated. </notes>"
<time>00:00:35 </time>,"<speaker>Petrus</speaker> <eng>OS (Petrus): Yes. </eng> <eng>Grandmother’s, Grandmother, Grandmother … was 
Grandmother … who, who is Grandmother? Grandmother’s </eng>","<speaker>Petrus</speaker> <afr>Aha. Ouma se, Ouma, Ouma ... was Ouma …wie, wie’s Ouma? Ouma se naam?</afr>",<notes></notes>
,<eng>name?</eng>,,<notes></notes>
<time>00:00:46 </time>,<speaker>2</speaker> <eng>OS 2: What is your name? </eng>,<speaker>2</speaker> <nam>Matits |on hâ? </nam>,"<notes>Khoekhoegowab, Niklaas transcribed and translated. Referring to male person. Female would be ‘Matis’</notes>"
<time>00:00:48 </time>,<speaker>Katriena</speaker> <eng>Katriena: Katriena.</eng>,<speaker>Katriena</speaker> <afr>Katriena.</afr>,<notes></notes>
<time>00:00:50 </time>,<speaker>3</speaker> <eng>OS 3: Witbooi.</eng>,<speaker>3</speaker> <afr>Witbooi.</afr>,<notes></notes>
<time>00:00:51 </time>,"<speaker>Katriena</speaker> <eng>Katriena: Witbooi, the surname I was born with. My Father’s home-surname (diminutive) is Witbooi.</eng>","<speaker>Katriena</speaker> <afr>Witbooi, geboorte van. My Pa se huisievan is Witbooi.</afr>",<notes></notes>
<time>00:00:55 </time>,<speaker>3</speaker> <eng>OS 3: Witbooi.</eng>,<speaker>3</speaker> <afr>Witbooi.</afr>,<notes></notes>
<time>00:00:56 </time>,<speaker>Katriena</speaker> <eng>Katriena: Yes.</eng>,<speaker>Katriena</speaker> <afr>Ja.</afr>,<notes></notes>
<time>00:00:56 </time>,<speaker>Petrus</speaker> <eng>OS (Petrus): Married?</eng>,<speaker>Petrus</speaker> <afr>Getroud?</afr>,<notes></notes>
<time>00:00:57 </time>,"<speaker>Katriena</speaker> <eng>Katriena: Yes, my Father …</eng>","<speaker>Katriena</speaker> <afr>Ja, my Pa …</afr>",<notes></notes>
<time>00:00:59 </time>,<speaker>Petrus</speaker> <eng>OS (Petrus): Married?</eng>,<speaker>Petrus</speaker> <afr>Getroud?</afr>,<notes></notes>
<time>00:01:00 </time>,"<speaker>Katriena</speaker> <eng>Katriena: My Mother, my 
Father is … Lena Witbooi and my Father is Hendrik Witbooi and I am Kartriena Witbooi.</eng>","<speaker>Katriena</speaker> <afr>My Ma en my Pa is … Lena Witbooi en my Pa is Hendrik Witbooi en ek is Katriena Witbooi. </afr> <eng>
</eng>",<notes></notes>
<time>00:01:08 </time>,<speaker>2</speaker> <eng>OS 2: And Married surname?</eng>,<speaker>2</speaker> <afr>En getroude van?</afr>,<notes></notes>
<time>00:01:09 </time>,<speaker>Petrus</speaker> <eng>OS (Petrus): And married surname?</eng>,<speaker>Petrus</speaker> <afr>En getroude van?</afr>,<notes></notes>
<time>00:01:09 </time>,<speaker>2</speaker> <eng>OS 2: Hansen?</eng>,<speaker>2</speaker> <afr>Hansen?</afr>,"<notes>Pronounced Hansen but could be 
referring to the </notes>"
,,,<notes>family name ǂHanasen </notes>
